Title,Artist,Peak Position,Last Position,Weeks on Chart,Current Rank,Is New
We Can't Be Friends (Wait For Your Love),Ariana Grande,1,0,1,1,True
Lose Control,Teddy Swims,2,2,31,2,False
Beautiful Things,Benson Boone,3,4,8,3,False
Carnival,¥$: Ye & Ty Dolla $ign Featuring Rich The Kid & Playboi Carti,1,1,5,4,False
Lovin On Me,Jack Harlow,1,3,18,5,False
Texas Hold 'Em,Beyonce,1,5,5,6,False
Act II: Date @ 8,4Batz Featuring Drake,7,61,10,7,False
Greedy,Tate McRae,3,6,26,8,False
I Remember Everything,Zach Bryan Featuring Kacey Musgraves,1,7,29,9,False
"Yes, And?",Ariana Grande,1,31,9,10,False
Snooze,SZA,2,8,65,11,False
Agora Hills,Doja Cat,7,9,25,12,False
Cruel Summer,Taylor Swift,1,10,45,13,False
Saturn,SZA,6,13,3,14,False
Stick Season,Noah Kahan,10,11,24,15,False
The Boy Is Mine,Ariana Grande,16,0,1,16,True
Supernatural,Ariana Grande,17,0,1,17,True
Last Night,Morgan Wallen,1,15,59,18,False
Water,Tyla,7,17,24,19,False
Fast Car,Luke Combs,2,14,51,20,False
End Of Beginning,Djo,21,23,4,21,False
Redrum,21 Savage,5,12,9,22,False
Eternal Sunshine,Ariana Grande,23,0,1,23,True
Whatever She Wants,Bryson Tiller,19,19,4,24,False
Bye,Ariana Grande,25,0,1,25,True
Thinkin' Bout Me,Morgan Wallen,7,18,54,26,False
Is It Over Now? (Taylor's Version) [From The Vault],Taylor Swift,1,16,20,27,False
Don't Wanna Break Up Again,Ariana Grande,28,0,1,28,True
Made For Me,Muni Long,20,20,9,29,False
True Story,Ariana Grande,30,0,1,30,True
Houdini,Dua Lipa,11,22,18,31,False
Paint The Town Red,Doja Cat,1,25,32,32,False
Feather,Sabrina Carpenter,28,28,15,33,False
Never Lose Me,Flo Milli,18,27,13,34,False
What Was I Made For?,Billie Eilish,14,34,34,35,False
Truck Bed,HARDY,29,29,39,36,False
Imperfect For You,Ariana Grande,37,0,1,37,True
Intro (End Of The World),Ariana Grande,38,0,1,38,True
I Wish I Hated You,Ariana Grande,39,0,1,39,True
Selfish,Justin Timberlake,19,32,7,40,False
Yeah Glo!,GloRilla,41,49,5,41,False
Pretty Little Poison,Warren Zeiders,19,24,27,42,False
Wild Ones,Jessie Murph & Jelly Roll,35,35,23,43,False
La Diabla,Xavi,20,33,13,44,False
Save Me,Jelly Roll With Lainey Wilson,19,36,36,45,False
Where The Wild Things Are,Luke Combs,26,26,17,46,False
Exes,Tate McRae,34,42,17,47,False
Vampire,Olivia Rodrigo,1,37,34,48,False
The Painter,Cody Johnson,25,30,23,49,False
FE!N,Travis Scott Featuring Playboi Carti,5,48,20,50,False
Man Made A Bar,Morgan Wallen Featuring Eric Church,15,44,25,51,False
23,Chayce Beckham,52,57,11,52,False
Burn It Down,Parker McCollum,43,43,21,53,False
I Can Feel It,Kane Brown,50,50,11,54,False
Ordinary Things,Ariana Grande Featuring Nonna,55,0,1,55,True
Wildflowers And Wild Horses,Lainey Wilson,56,65,7,56,False
Praise Jah In The Moonlight,YG Marley,34,39,7,57,False
Mamaw's House,Thomas Rhett Featuring Morgan Wallen,55,58,11,58,False
Everybody,Nicki Minaj Featuring Lil Uzi Vert,24,47,14,59,False
World On Fire,Nate Smith,21,51,20,60,False
Surround Sound,JID Featuring 21 Savage & Baby Tate,40,46,18,61,False
Soak City,310babii,56,56,13,62,False
Get In With Me,BossMan Dlow,49,53,6,63,False
One Of The Girls,"The Weeknd, Jennie & Lily Rose Depp",51,55,12,64,False
Breathe,Yeat,42,52,4,65,False
You Broke My Heart,Drake,11,54,17,66,False
Scared To Start,Michael Marcagi,67,69,4,67,False
Training Season,Dua Lipa,27,59,4,68,False
Murder On The Dancefloor,Sophie Ellis-Bextor,51,67,11,69,False
One Call,Rich Amiri,60,60,7,70,False
FTCU,Nicki Minaj,15,63,14,71,False
Sensational,Chris Brown Featuring Davido & Lojay,71,71,6,72,False
Where It Ends,Bailey Zimmerman,32,76,11,73,False
Austin,Dasha,74,0,1,74,True
Tu Name,Fuerza Regida,66,66,4,75,False
La Victima,Xavi,46,62,13,76,False
Spin You Around (1/24),Morgan Wallen,24,68,7,77,False
Bandit,Don Toliver,38,75,6,78,False
Oklahoma Smokeshow,Zach Bryan,72,81,20,79,False
Mmhmm,BigXthaPlug,65,79,12,80,False
Harley Quinn,Fuerza Regida & Marshmello,40,72,19,81,False
Perro Negro,Bad Bunny & Feid,20,83,19,82,False
Home,Good Neighbours,77,78,6,83,False
Like What (Freestyle),Cardi B,38,38,2,84,False
Nee-nah,"21 Savage, Travis Scott & Metro Boomin",10,77,9,85,False
Bellakeo,Peso Pluma & Anitta,53,80,13,86,False
Holy Smokes,Bailey Zimmerman,54,73,3,87,False
Standing Next To You,Jung Kook,5,85,19,88,False
Let's Go,Key Glock,89,91,3,89,False
Coal,Dylan Gossett,73,82,10,90,False
Burn,¥$: Ye & Ty Dolla $ign,33,70,5,91,False
Tucson Too Late,Jordan Davis,86,86,2,92,False
Contigo,Karol G & Tiesto,61,89,4,93,False
Igual Que Un Angel,Kali Uchis & Peso Pluma,22,87,9,94,False
My Eyes,Travis Scott,19,84,13,95,False
Back Then Right Now,Tyler Hubbard,96,0,1,96,True
Tourniquet,Zach Bryan,20,0,11,97,False
Outskirts,Sam Hunt,98,0,1,98,True
Worth It,Offset & Don Toliver,90,90,8,99,False
Fuk Sumn,¥$: Ye & Ty Dolla $ign,23,92,5,100,False
